country,programme,processing_days
Austria,Residence permit „special cases of gainful employment“,180
Austria,Seconded employee,180
Austria,Settlement Permit - Special Cases of Gainful Employment,180
Austria,Settlement permit pursuant to § 56 (1) NAG,180
Austria,Settlement permit relative (Niederlassungsbewilligung – Angehöriger),180
Austria,Social Service Employee,180
Austria,Special cases of gainful employment (Au Pairs),180
Austria,Stay permit cross-border worker,180
Austria,"Stay permit mobile ICT (Aufenthaltsbewilligung Mobiler unternehmensintern transferierter Arbeitnehmer – ""mobile ICT"")",180
Austria,Student Residence Permit (Aufenthaltsbewilligung Student),180
Austria,Students,180
Austria,settlement permit - artists,180
Austria,stay permit family unity,180
Austria,stay permit researcher-mobility (Aufenthaltsbewilligung Forscher-Mobilität),180
Belgium,"Intra-Corporate Transferee (ICT, Art. 61/34)",180
Brazil,Autorização de residência com base em reunião familiar,180
Canada,International Experience Canada (IEC),180
Canada,Post-Graduation Work Permit (PGWP),180
Canada,Seasonal Agricultural Worker Program (SAWP),180
Caribbean Netherlands,Work Permit (TWV) and Residence Permit,180
China,Residence Permit for Reunion,180
Comoros,"Naturalisation (Loi N° 79-12, ordinary residence track)",180
Comoros,Naturalisation par Services Exceptionnels,180
Croatia,Long-Term Residence — EU (Dugotrajno Boravište),180
Croatia,Permanent Stay (Stalni Boravak — diaspora/refugee/family route),180
Cuba,Residente Permanente por Reunificación Familiar (Family Reunification PR),180
Egypt,Citizenship by Descent (Jus Sanguinis),180
El Salvador,Residencia Temporal con Autorización de Trabajar,180
France,Regroupement familial (séjour au titre du regroupement familial),180
Ireland,Family Reunification — Dependent Parent of Irish National,180
Jamaica,Work Permit,180
Kosovo,Fitimi i shtetësisë me qëndrim të përhershëm,180
Kosovo,Fitimi i shtetësisë së Kosovës,180
Kosovo,Fitimin e shtetësisë si pjesëtar i diasporës,180
Liechtenstein,Zulassung zur Erwerbstätigkeit,180
Luxembourg,Long-term resident status for third-country nationals,180
Mongolia,Become a citizen of Mongolia,180
Mongolia,Restoration of Citizenship,180
Montenegro,Permanent Residence Permit,180
Netherlands,Permanent Residence Permit,180
Netherlands,Residence with Minor Dutch Child (Chavez-Vilchez),180
Poland,Permanent Residence Permit,180
Poland,Permanent residence card for a family member of an EU citizen,180
Portugal,"Nacionalidade Portuguesa por Atribuição (filho de português originário, Art. 1.º)",180
Romania,Long-stay visa (symbol D),180
Romania,Registration certificate,180
Romania,Residence permit granted for work purposes,180
Romania,Temporary residence/stay permit,180
Rwanda,Rwandan Nationality by Acquisition on grounds of Adoption,180
Rwanda,Rwandan Nationality by Acquisition on grounds of Being an Immigrant,180
Rwanda,Rwandan Nationality by Acquisition on grounds of Marriage,180
Rwanda,Rwandan Nationality by Acquisition on grounds of Sustainable Investment or Activities,180
Singapore,Singapore Permanent Residence,180
Sweden,Job Seeker Visa (Higher Education),180
United Kingdom,British Citizenship by Descent / Registration (UKM — born before 1983 to British mother),180
United States,D-1 Crewmembers Certification,180
United States,EB-2 with National Interest Waiver (NIW),180
Denmark,Family Reunification — Child (<15),210
Cyprus,Fast-Track Naturalisation — Highly Skilled FIC Employees,240
Cyprus,Naturalisation by Residence,240
Denmark,Family Reunification — Spouse / Partner,240
Denmark,Permanent Residence Permit,240
New Zealand,Dependent Child Resident Visa,240
New Zealand,South Island Contribution Resident Visa,240
Sweden,Long-term residents in Sweden,240
Czechia,"Long-Term Residence — Family Reunification (§42a Act 326/1999, Directive 2003/86/EC)",270
Latvia,Naturalisation (Latvian Citizenship by Naturalisation),270
Costa Rica,Naturalization — General (7 years),285
Costa Rica,Naturalization — Iberoamerican/Centroamerican/Spanish (5 years),285
Costa Rica,Naturalization — Spouse of Costa Rican (2 years marriage + 2 years residence),285
Canada,Quebec-selected skilled workers,330
Sweden,Self-Employed Residence Permit,330
Finland,Employee of a religious community,360
Ireland,"Irish Citizenship by Naturalisation (Spouse of Irish Citizen, 3-year track)",360
United States,Permanent Labor Certification,360
Botswana,Citizenship by Naturalisation — Foreign Spouse,365
Central African Republic,Permanent Work Visa (Permis de Travail permanent),365
Egypt,"Naturalization (foreign-born in Egypt, reduced)",365
Ireland,Foreign Birth Registration,365
Ireland,Irish Citizenship by Naturalisation (5 of 9 years reckonable residence),365
Singapore,Singapore Citizenship,365
Switzerland,Ordinary naturalisation,365
Ukraine,Immigration Permit,365
Uzbekistan,Citizenship of the Republic of Uzbekistan,365
Venezuela,Visa de Transeúnte Laboral (TR-L),365
Canada,Citizenship Grant for Canadian Armed Forces (CAF) Members — Reduced Physical Presence,390
Canada,Resumption of Canadian Citizenship,390
New Zealand,New Zealand citizenship by grant,420
Sweden,Residence Permit to Live with Partner,450
Croatia,Citizenship by Croatian Descent / Croatian People (Art. 16),540
Croatia,Citizenship by Descent — Emigrants and Descendants (Art. 11),540
Croatia,Naturalisation by Marriage to Croatian Citizen (Art. 10),540
Czechia,"Citizenship by Marriage (§13 Act 186/2013, spouse of Czech citizen)",540
Czechia,"Citizenship by Naturalization (§14 Act 186/2013, 5 years PR + B1 Czech)",540
Denmark,Citizenship by Naturalization (Folketing law),540
Dominican Republic,Naturalización Acelerada — Latinoamericanos / Españoles / Caribeños (Ley 1683),540
Dominican Republic,Naturalización Ordinaria,540
Dominican Republic,Naturalización por Matrimonio con Dominicano/a (Ley 1683 — 6 meses),540
Sweden,Residence Permit for Child to Live with Parent in Sweden,540
France,Naturalisation par décret,548
France,Naturalisation par décret — stage réduit à deux ans,548
France,Naturalisation sans condition de stage — francophonie,548
France,Naturalisation sans condition de stage — services / réfugié,548
Sweden,Residence Permit for Adult to Live with Relative,570
Slovakia,Slovak Citizenship by Descent — Grandparent/Great-Grandparent (2022 Amendment),720
Australia,Partner (Migrant) visa (subclass 100),730
Australia,"Subclass 801 — Partner (Permanent, onshore)",730
Central African Republic,Naturalisation (Naturalisation Centrafricaine),730
Croatia,Naturalisation by Residence (Zakon o državljanstvu Art. 8),730
Egypt,Naturalization (10-year residence track),730
Jamaica,Naturalisation,730
Portugal,Nacionalidade Portuguesa por Casamento ou União de Facto (3 anos),730
Portugal,"Nacionalidade Portuguesa por Descendência Sefardita (Decreto-Lei 30-A/2015, alterado 2022)",730
Portugal,Nacionalidade Portuguesa por Naturalização (Lei 37/81 + Reforma 2025/2026),730
Sweden,British citizens,1680
